message,label
well im computerless time make oreo truffle,0
somewhere beneath pale moon light someone think u dream come true goodnite amp sweet dream,0
got called tool,0
brother genius,0
im really really broke oh amount small even ltgt,0
lmao know well,0
fantasy football back tv go sky gamestar sky active play £250k dream team scoring start saturday register nowsky opt 88088,1
one day billion class right,0
im good registered vote,0
im school n ill da lab stuff give call ü r done,0
huh cant go 2 ur house empty handed right,0
well im desperate ill call armand,0
went ganesh dress shop,0
e msg jus u said thanks gift,0
que pas un buen tiempo something like,0
hi hope good day better night,0
bring got,0
hey got mail,0
u turn heater heater set ltgt degree,0
honey pls find much sell predicte nigeria many time used important reply monday,0
last chance 2 claim ur £150 worth discount voucherstext yes 85023 nowsavamobmember offer mobile c 08717898035 £300 sub 16 remove txt x stop,1
haha mayb ure rite u know well da feeling liked someone gd lor u faster go find one gal group attached liao,0
askd u question hour answer,0
place man,0
im serious money base,0
hey sexy bun day word morning ym think,0
ur balance £500 ur next question sang uptown girl 80 2 answer txt ur answer 83600 good luck,1
r meeting,0
mum going robinson already,0
watch lor saw swatch one thk quite ok ard 116 need 2nd opinion leh,0
hey leave friday wait ask superior tell,0
aight call youre close,0
dunno dat wat told ok lor,0
howz person story,0
hey hunonbus goin 2 meet want 2go 4a meal donyt feel like cuz 2 get last bus homebut he sweet latelyxxx,0
ay wana meet satü wkg sat,0
txting driving,0
spending new year brother family let plan meet next week ready spoiled,0
thats cool want please,0
u subscribed best mobile content service uk £3 per ten day send stop 83435 helpline 08706091795,1
mmmmmm love youso much ahmad cant wait year begin every second take closer side happy new year love,0
dear relieved westonzoyland going plan end,0
ask g iouri ive told story like ten time already,0
university southern california,0
good evening,0
kkwhy cant come search job,0
ya tel wats ur problem,0
dun cut short leh u dun like ah failed shes quite sad,0
didnt work oh ok goodnight ill fix ready time wake dearly missed good night sleep,0
promise take good care princess run please send pic get chance ttyl,0
call get chance plz lt3,0
lil fever fine,0
cool breeze bright sun fresh flower twittering bird waiting wish u goodmorning amp nice day,0
yeah there barely enough room two u x many fucking shoe sorry man see later,0
kate jackson rec center 7ish right,0
wow healthy old airport rd lor cant thk anything else ill b bathing dog later,0
ssnervous ltgt,0
yeah wheres class,0
hi love go day fuck morning woke dropped cell way stair seems alright phews miss,0
yeah probably sure ilol let u know personally wuldnt bother ur goin mite well,0
1 new message please call 08718738034,1
bloomberg message center 447797706009 wait apply future httpcareers bloombergcom,1
sleeping nt feeling well,0
good afternoon glorious anniversary day sweet j hope find happy content prey think send teasing kiss across sea coaxing image fond souveniers cougarpen,0
yes place town meet exciting adult single uk txt chat 86688 150pmsg,1
purchase stuff today mail po box number,0
exwife able kid want kid one day,0
yar lor u noe u used dat route,0
supposed wake gt,0
ltgt great loxahatchee xmas tree burning update totally see star,0
ok thats great thanx lot,0
want new nokia 3510i colour phone delivered tomorrow 200 free minute mobile 100 free text free camcorder reply call 08000930705,1
time come tomorrow,0
sat right okay thanks,0
real u getting yo need 2 ticket one jacket im done already used multis,0
hungry buy food good lei mum n yun dun wan juz buy little bit,0
freemsgfav xmas tonesreply real,1
one best dialogue cute reltnship wen die dont come near body bcoz hand may come 2 wipe ur tear timegud ni8,0
glad see reply,0
recieve tone within next 24hrs term condition please see channel u teletext pg 750,1
surely result offer,0
yo call get chance friend mine wanted ask big order,0
mu try figure much money everyone gas alcohol jay trying figure weed budget,0
oic better quickly go bathe n settle,0
nope waiting sch 4 daddy,0
prof passed paper sem congrats student enna kalaachutaarama prof gud mrng,0
happened yo date,0
uncle boye need movie oh guide plus know torrent particularly legal system slowing gr8 day plus started co dont meet online honey moon,0
probably gon na swing wee bit,0
long get reply defer admission til next semester,0
please protect ethreats sib never asks sensitive information like passwordsatmsms pin thru email never share password anybody,0
ha ha ha good joke girl situation seeker,0
guy close,0
come take little time child afraid dark become teenager want stay night,1
thought bout drink tap spile seven pub gas st broad st canal ok,0
ya knw u vl givits ok thanks kanoanyway enjoy wit ur family wit 1st salary,0
nonenowhere ikno doesdiscountshitinnit,0
ive got ltgt way could pick,0
mag meeting avo point,0
u find sitter kaitlyn sick slept day yesterday,0
im cant give everything want need actually could better yor ownyouve got money cant get work cant get man cant pay rent cant even fill fucking gas tank yes im stressed depressed didnt even call home thanksgiving cuz ill tell im nothing,0
im home please call,0
done internet connection v slow ‘ send try later first thing tomo,0
alright new goal,0
lem know youre,0
natalja 25f inviting friend reply yes440 no440 see wwwsmsacunat27081980 stop send stop frnd 62468,1
free msg single find partner area 1000 real people waiting chat nowsend chat 62220cncl send stopcs 08717890890£150 per msg,1
oh ok didnt know meant yep baby jontin,0
whenevr ur sad whenevr ur gray remembr im 2 listn 2 watevr u wan na say jus walk wid little whileamp promise ill bring back ur smile,0
xmas story peace xmas msg love xmas miracle jesus hav blessed month ahead amp wish u merry xmas,0
urgent 4 costa del sol holiday £5000 await collection call 09050090044 toclaim sae tc pobox334 stockport sk38xh cost£150pm max10mins,1
black shirt n blue jean thk c ü,0
k jason say he gon na around ill around ltgt,0
gudnitetcpractice going,0
single line big meaning miss anything 4 ur best life dont miss ur best life anything gud nyt,0
say he quitting least5times day wudnt take much notice nah didnt mind gon na see want come taunton tonight u tell,0
shall send exe mail id,0
get gift year didnt get anything bad,0
dont file bagi work called mei tell find anything room,0
sound like could lot time spent chastity device boy grin take beating like good dog going lounge nice long bath,0
train back northampton im afraid im staying skyving today ho ho around wednesday though fancy comedy club week way,0
registered optin subscriber ur draw 4 £100 gift voucher entered receipt correct an 80062 whats no1 bbc chart,1
urgent mobile number awarded £2000 bonus caller prize call 09058095201 land line valid 12hrs,1
hows pain deary r u smiling,0
new deus ex game comin early next yr,0
thk 50 shd ok said plus minus 10 ü leave line paragraph,0
guess thats worried must know there way body repair im quite sure shouldnt worry well take slow first test guide ovulation relax nothing youve said reason worry ill keep followin,0
u wan 2 come dinner tonight,0
‘ got salt rub open wound like,0
pls help tell sura im expecting battery hont pls send message download movie thanks,0
going dinnermsg,0
ard 530 lor ok message ü lor,0
free camera phone linerental 449month 750 cross ntwk min 12 price txt bundle deal also avble call 08001950382 call2optoutj mf,1
